,Intercept,C(mvac)[T.True],C(csc)[T.True],C(mvac)[T.True]:C(csc)[T.True],collection_day,Intercept RE
y215,0.13360886216439116,0.8935111371963351,0.47514035128783916,0.9220837443432578,0.01751154227076299,0.0001876817844868893
y216,0.6325545851908008,0.04449805311759127,0.07282172722246479,0.033879067329897504,0.41973525130992173,0.9999993012672463
y217,0.09251713211243932,0.008282463715284115,0.19647574670351298,0.0062787625184737355,0.025967573523781786,0.9999986187340496
y218,1.0273149336927869e-13,0.819933374049202,0.9388162301409075,0.9106320880297738,0.039477905900415576,0.9999786927916672
y219,3.054556991364458e-11,0.8887758770936738,0.4849937830912151,0.43323426419233346,0.035282629257208854,8.625164201369755e-05
y220,1.8312763773093393e-06,0.8401864040655661,0.4904656355076653,0.5458728386930127,1.1654568962995476e-05,5.120691731010879e-06
y221,3.6355280157640846e-12,0.7426681678016861,0.016124817677918308,0.8960876469915554,3.611632380873001e-05,0.016870342475113525
y222,6.1797495495290304e-12,0.42990096081510154,0.3865022747726331,0.2629174861469731,0.0012648409487286793,3.5033349094364586e-06
y223,8.26939848767055e-05,0.34839149772197076,0.1450891069161301,0.0705569488795428,0.7014549446210075,0.999996830503735
y224,3.728543479236854e-19,0.26382826973754947,0.7914994488975622,0.29112419226434605,5.72264305631026e-14,0.0011585795922743533
